"word","avg_sentiment","avg_velocity","avg_intensity","avg_insta_eng","count","engagement_rank","sentiment_rank","combined_score"
"blondes",0.066,0.03,64.235,0.0878333333333333,6,12.5,2.5,0.362389192596369
"brainrots",0.02,5.61,1031.93,0.15225,4,5,6,0.277585232973608
"colts",0,1.15,176.65,0.535,2,9,10,-0.543423852426224
"emergence",-0.015,11.405,2052.85666666667,0.1715,6,2,16,0.389489010278365
"espn",0.086,0.28,401.6025,0.4535,2,10,1,0.703993914824415
"lala",0,0,0.168333333333333,0.0775,6,15.5,10,-0.674377538328256
"letra",0,0,0.168333333333333,0.0775,6,15.5,10,-0.674377538328256
"lyrics",0.066,0.03,64.235,0.0878333333333333,6,12.5,2.5,0.362389192596369
"michael",0.05,0.1,851.603333333333,0.105,6,11,4,0.119851062808323
"myke",0,0,0.168333333333333,0.0775,6,15.5,10,-0.674377538328256
"official",-0.00692307692307692,5.51769230769231,1343.26653846154,0.136384615384615,13,7.5,13.5,-0.154456043421073
"skibidi",-0.015,11.405,2052.85666666667,0.1715,6,2,16,0.389489010278365
"toilet",-0.015,11.405,2052.85666666667,0.1715,6,2,16,0.389489010278365
"towers",0,0,0.168333333333333,0.0775,6,15.5,10,-0.674377538328256
"tracks",0.02,5.61,1031.93,0.15225,4,5,6,0.277585232973608
"trailer",-0.00692307692307692,5.51769230769231,1343.26653846154,0.136384615384615,13,7.5,13.5,-0.154456043421073
"update",0.02,5.61,1031.93,0.15225,4,5,6,0.277585232973608
